title,category,location,description,keywords,start_date,start_time,end_date,end_time,alarm_date,alarm_time,alarm,recur_type,recur_end_date,recur_interval,recur_data
Labor Day,Holiday,United States,System Imported Holiday,holiday,9/5/2005,12:00:00 AM,9/6/2005,12:00:00 AM,9/5/2005,,0,0
Labor Day,Holiday,United States,System Imported Holiday,holiday,9/6/2004,12:00:00 AM,9/7/2004,12:00:00 AM,9/6/2004,,0,0
Labor Day,Holiday,United States,System Imported Holiday,holiday,9/1/2003,12:00:00 AM,9/2/2003,12:00:00 AM,9/1/2003,,0,0
Independence Day,Holiday,United States,System Imported Holiday,holiday,7/4/2005,12:00:00 AM,7/5/2005,12:00:00 AM,7/4/2005,,0,0
Independence Day,Holiday,United States,System Imported Holiday,holiday,7/4/2004,12:00:00 AM,7/5/2004,12:00:00 AM,7/4/2004,,0,0
Independence Day,Holiday,United States,System Imported Holiday,holiday,7/4/2003,12:00:00 AM,7/5/2003,12:00:00 AM,7/4/2003,,0,0
Halloween,Holiday,United States,System Imported Holiday,holiday,10/31/2005,12:00:00 AM,11/1/2005,12:00:00 AM,10/31/2005,,0,0
Halloween,Holiday,United States,System Imported Holiday,holiday,10/31/2004,12:00:00 AM,11/1/2004,12:00:00 AM,10/31/2004,,0,0
Halloween,Holiday,United States,System Imported Holiday,holiday,10/31/2003,12:00:00 AM,11/1/2003,12:00:00 AM,10/31/2003,,0,0
Groundhog Day,Holiday,United States,System Imported Holiday,holiday,2/2/2005,12:00:00 AM,2/3/2005,12:00:00 AM,2/2/2005,,0,0
Groundhog Day,Holiday,United States,System Imported Holiday,holiday,2/2/2004,12:00:00 AM,2/3/2004,12:00:00 AM,2/2/2004,,0,0
Groundhog Day,Holiday,United States,System Imported Holiday,holiday,2/2/2003,12:00:00 AM,2/3/2003,12:00:00 AM,2/2/2003,,0,0
Flag Day,Holiday,United States,System Imported Holiday,holiday,6/14/2005,12:00:00 AM,6/15/2005,12:00:00 AM,6/14/2005,,0,0
Flag Day,Holiday,United States,System Imported Holiday,holiday,6/14/2004,12:00:00 AM,6/15/2004,12:00:00 AM,6/14/2004,,0,0
Flag Day,Holiday,United States,System Imported Holiday,holiday,6/14/2003,12:00:00 AM,6/15/2003,12:00:00 AM,6/14/2003,,0,0
Father's Day,Holiday,United States,System Imported Holiday,holiday,6/19/2005,12:00:00 AM,6/20/2005,12:00:00 AM,6/19/2005,,0,0
Father's Day,Holiday,United States,System Imported Holiday,holiday,6/20/2004,12:00:00 AM,6/21/2004,12:00:00 AM,6/20/2004,,0,0
Father's Day,Holiday,United States,System Imported Holiday,holiday,6/15/2003,12:00:00 AM,6/16/2003,12:00:00 AM,6/15/2003,,0,0
Election Day,Holiday,United States,System Imported Holiday,holiday,11/1/2005,12:00:00 AM,11/2/2005,12:00:00 AM,11/1/2005,,0,0
Election Day,Holiday,United States,System Imported Holiday,holiday,11/2/2004,12:00:00 AM,11/3/2004,12:00:00 AM,11/2/2004,,0,0
Election Day,Holiday,United States,System Imported Holiday,holiday,11/4/2003,12:00:00 AM,11/5/2003,12:00:00 AM,11/4/2003,,0,0
Easter Day,Holiday,United States,System Imported Holiday,holiday,3/27/2005,12:00:00 AM,3/28/2005,12:00:00 AM,3/27/2005,,0,0
Easter Day,Holiday,United States,System Imported Holiday,holiday,4/11/2004,12:00:00 AM,4/12/2004,12:00:00 AM,4/11/2004,,0,0
Easter Day,Holiday,United States,System Imported Holiday,holiday,4/20/2003,12:00:00 AM,4/21/2003,12:00:00 AM,4/20/2003,,0,0
Columbus Day,Holiday,United States,System Imported Holiday,holiday,10/10/2005,12:00:00 AM,10/11/2005,12:00:00 AM,10/10/2005,,0,0
Columbus Day,Holiday,United States,System Imported Holiday,holiday,10/11/2004,12:00:00 AM,10/12/2004,12:00:00 AM,10/11/2004,,0,0
Columbus Day,Holiday,United States,System Imported Holiday,holiday,10/13/2003,12:00:00 AM,10/14/2003,12:00:00 AM,10/13/2003,,0,0
Christmas Eve,Holiday,United States,System Imported Holiday,holiday,12/24/2005,12:00:00 AM,12/25/2005,12:00:00 AM,12/24/2005,,0,0
Christmas Eve,Holiday,United States,System Imported Holiday,holiday,12/24/2004,12:00:00 AM,12/25/2004,12:00:00 AM,12/24/2004,,0,0
Christmas Eve,Holiday,United States,System Imported Holiday,holiday,12/24/2003,12:00:00 AM,12/25/2003,12:00:00 AM,12/24/2003,,0,0
Christmas Day,Holiday,United States,System Imported Holiday,holiday,12/25/2005,12:00:00 AM,12/26/2005,12:00:00 AM,12/25/2005,,0,0
Christmas Day,Holiday,United States,System Imported Holiday,holiday,12/25/2004,12:00:00 AM,12/26/2004,12:00:00 AM,12/25/2004,,0,0
Christmas Day,Holiday,United States,System Imported Holiday,holiday,12/25/2003,12:00:00 AM,12/26/2003,12:00:00 AM,12/25/2003,,0,0
Victory Day,Holiday,Russia,System Imported Holiday,holiday,5/9/2005,12:00:00 AM,5/10/2005,12:00:00 AM,5/9/2005,,0,0
Victory Day,Holiday,Russia,System Imported Holiday,holiday,5/9/2004,12:00:00 AM,5/10/2004,12:00:00 AM,5/9/2004,,0,0
Victory Day,Holiday,Russia,System Imported Holiday,holiday,5/9/2003,12:00:00 AM,5/10/2003,12:00:00 AM,5/9/2003,,0,0
Spring and Labor Day (2nd day),Holiday,Russia,System Imported Holiday,holiday,5/2/2005,12:00:00 AM,5/3/2005,12:00:00 AM,5/2/2005,,0,0
Spring and Labor Day (2nd day),Holiday,Russia,System Imported Holiday,holiday,5/2/2004,12:00:00 AM,5/3/2004,12:00:00 AM,5/2/2004,,0,0
Spring and Labor Day (2nd day),Holiday,Russia,System Imported Holiday,holiday,5/2/2003,12:00:00 AM,5/3/2003,12:00:00 AM,5/2/2003,,0,0
Spring and Labor Day,Holiday,Russia,System Imported Holiday,holiday,5/1/2005,12:00:00 AM,5/2/2005,12:00:00 AM,5/1/2005,,0,0
Spring and Labor Day,Holiday,Russia,System Imported Holiday,holiday,5/1/2004,12:00:00 AM,5/2/2004,12:00:00 AM,5/1/2004,,0,0
Spring and Labor Day,Holiday,Russia,System Imported Holiday,holiday,5/1/2003,12:00:00 AM,5/2/2003,12:00:00 AM,5/1/2003,,0,0
October Revolution Day,Holiday,Russia,System Imported Holiday,holiday,11/7/2005,12:00:00 AM,11/8/2005,12:00:00 AM,11/7/2005,,0,0
October Revolution Day,Holiday,Russia,System Imported Holiday,holiday,11/7/2004,12:00:00 AM,11/8/2004,12:00:00 AM,11/7/2004,,0,0
October Revolution Day,Holiday,Russia,System Imported Holiday,holiday,11/7/2003,12:00:00 AM,11/8/2003,12:00:00 AM,11/7/2003,,0,0
New Year's Day (2nd),Holiday,Russia,System Imported Holiday,holiday,1/2/2005,12:00:00 AM,1/3/2005,12:00:00 AM,1/2/2005,,0,0
New Year's Day (2nd),Holiday,Russia,System Imported Holiday,holiday,1/2/2004,12:00:00 AM,1/3/2004,12:00:00 AM,1/2/2004,,0,0
New Year's Day (2nd),Holiday,Russia,System Imported Holiday,holiday,1/2/2003,12:00:00 AM,1/3/2003,12:00:00 AM,1/2/2003,,0,0
New Year's Day,Holiday,Russia,System Imported Holiday,holiday,1/1/2005,12:00:00 AM,1/2/2005,12:00:00 AM,1/1/2005,,0,0
New Year's Day,Holiday,Russia,System Imported Holiday,holiday,1/1/2004,12:00:00 AM,1/2/2004,12:00:00 AM,1/1/2004,,0,0
New Year's Day,Holiday,Russia,System Imported Holiday,holiday,1/1/2003,12:00:00 AM,1/2/2003,12:00:00 AM,1/1/2003,,0,0
International Women's Day,Holiday,Russia,System Imported Holiday,holiday,3/8/2005,12:00:00 AM,3/9/2005,12:00:00 AM,3/8/2005,,0,0
International Women's Day,Holiday,Russia,System Imported Holiday,holiday,3/8/2004,12:00:00 AM,3/9/2004,12:00:00 AM,3/8/2004,,0,0
International Women's Day,Holiday,Russia,System Imported Holiday,holiday,3/8/2003,12:00:00 AM,3/9/2003,12:00:00 AM,3/8/2003,,0,0
Independence Day,Holiday,Russia,System Imported Holiday,holiday,6/12/2005,12:00:00 AM,6/13/2005,12:00:00 AM,6/12/2005,,0,0
Independence Day,Holiday,Russia,System Imported Holiday,holiday,6/12/2004,12:00:00 AM,6/13/2004,12:00:00 AM,6/12/2004,,0,0
Independence Day,Holiday,Russia,System Imported Holiday,holiday,6/12/2003,12:00:00 AM,6/13/2003,12:00:00 AM,6/12/2003,,0,0
Constitution Day,Holiday,Russia,System Imported Holiday,holiday,12/12/2005,12:00:00 AM,12/13/2005,12:00:00 AM,12/12/2005,,0,0
Constitution Day,Holiday,Russia,System Imported Holiday,holiday,12/12/2004,12:00:00 AM,12/13/2004,12:00:00 AM,12/12/2004,,0,0
Constitution Day,Holiday,Russia,System Imported Holiday,holiday,12/12/2003,12:00:00 AM,12/13/2003,12:00:00 AM,12/12/2003,,0,0
Christmas (Orthodox),Holiday,Russia,System Imported Holiday,holiday,1/7/2005,12:00:00 AM,1/8/2005,12:00:00 AM,1/7/2005,,0,0
Christmas (Orthodox),Holiday,Russia,System Imported Holiday,holiday,1/7/2004,12:00:00 AM,1/8/2004,12:00:00 AM,1/7/2004,,0,0
Christmas (Orthodox),Holiday,Russia,System Imported Holiday,holiday,1/7/2003,12:00:00 AM,1/8/2003,12:00:00 AM,1/7/2003,,0,0
Yom Kippur,Holiday,Jewish Religious Holidays,System Imported Holiday,holiday,10/13/2005,12:00:00 AM,10/14/2005,12:00:00 AM,10/13/2005,,0,0
Yom Kippur,Holiday,Jewish Religious Holidays,System Imported Holiday,holiday,9/25/2004,12:00:00 AM,9/26/2004,12:00:00 AM,9/25/2004,,0,0
Yom Kippur,Holiday,Jewish Religious Holidays,System Imported Holiday,holiday,10/6/2003,12:00:00 AM,10/7/2003,12:00:00 AM,10/6/2003,,0,0
Tu B'Shevat,Holiday,Jewish Religious Holidays,System Imported Holiday,holiday,1/25/2005,12:00:00 AM,1/26/2005,12:00:00 AM,1/25/2005,,0,0
Tu B'Shevat,Holiday,Jewish Religious Holidays,System Imported Holiday,holiday,2/7/2004,12:00:00 AM,2/8/2004,12:00:00 AM,2/7/2004,,0,0
Tu B'Shevat,Holiday,Jewish Religious Holidays,System Imported Holiday,holiday,1/18/2003,12:00:00 AM,1/19/2003,12:00:00 AM,1/18/2003,,0,0
Tisha B'Av,Holiday,Jewish Religious Holidays,System Imported Holiday,holiday,8/14/2005,12:00:00 AM,8/15/2005,12:00:00 AM,8/14/2005,,0,0
Tisha B'Av,Holiday,Jewish Religious Holidays,System Imported Holiday,holiday,7/27/2004,12:00:00 AM,7/28/2004,12:00:00 AM,7/27/2004,,0,0
Tisha B'Av,Holiday,Jewish Religious Holidays,System Imported Holiday,holiday,8/7/2003,12:00:00 AM,8/8/2003,12:00:00 AM,8/7/2003,,0,0
Taanit Ester,Holiday,Jewish Religious Holidays,System Imported Holiday,holiday,3/24/2005,12:00:00 AM,3/25/2005,12:00:00 AM,3/24/2005,,0,0
Taanit Ester,Holiday,Jewish Religious Holidays,System Imported Holiday,holiday,3/4/2004,12:00:00 AM,3/5/2004,12:00:00 AM,3/4/2004,,0,0
Taanit Ester,Holiday,Jewish Religious Holidays,System Imported Holiday,holiday,3/17/2003,12:00:00 AM,3/18/2003,12:00:00 AM,3/17/2003,,0,0
Sukkot,Holiday,Jewish Religious Holidays,System Imported Holiday,holiday,10/18/2005,12:00:00 AM,10/19/2005,12:00:00 AM,10/18/2005,,0,0
Sukkot,Holiday,Jewish Religious Holidays,System Imported Holiday,holiday,9/30/2004,12:00:00 AM,10/1/2004,12:00:00 AM,9/30/2004,,0,0
Sukkot,Holiday,Jewish Religious Holidays,System Imported Holiday,holiday,10/11/2003,12:00:00 AM,10/12/2003,12:00:00 AM,10/11/2003,,0,0
Simchat Torah,Holiday,Jewish Religious Holidays,System Imported Holiday,holiday,10/25/2005,12:00:00 AM,10/26/2005,12:00:00 AM,10/25/2005,,0,0
Simchat Torah,Holiday,Jewish Religious Holidays,System Imported Holiday,holiday,10/7/2004,12:00:00 AM,10/8/2004,12:00:00 AM,10/7/2004,,0,0
Simchat Torah,Holiday,Jewish Religious Holidays,System Imported Holiday,holiday,10/18/2003,12:00:00 AM,10/19/2003,12:00:00 AM,10/18/2003,,0,0
Shushan Purim,Holiday,Jewish Religious Holidays,System Imported Holiday,holiday,3/26/2005,12:00:00 AM,3/27/2005,12:00:00 AM,3/26/2005,,0,0
Shushan Purim,Holiday,Jewish Religious Holidays,System Imported Holiday,holiday,3/8/2004,12:00:00 AM,3/9/2004,12:00:00 AM,3/8/2004,,0,0
Shushan Purim,Holiday,Jewish Religious Holidays,System Imported Holiday,holiday,3/19/2003,12:00:00 AM,3/20/2003,12:00:00 AM,3/19/2003,,0,0
Sh'mini Atzeret,Holiday,Jewish Religious Holidays,System Imported Holiday,holiday,10/25/2005,12:00:00 AM,10/26/2005,12:00:00 AM,10/25/2005,,0,0
Sh'mini Atzeret,Holiday,Jewish Religious Holidays,System Imported Holiday,holiday,10/7/2004,12:00:00 AM,10/8/2004,12:00:00 AM,10/7/2004,,0,0
Sh'mini Atzeret,Holiday,Jewish Religious Holidays,System Imported Holiday,holiday,10/18/2003,12:00:00 AM,10/19/2003,12:00:00 AM,10/18/2003,,0,0
